Date,Envi
04/01/2015,44562
11/01/2015,38112
18/01/2015,50355
25/01/2015,51922
01/02/2015,67496
08/02/2015,54229
15/02/2015,41548
22/02/2015,50872
01/03/2015,40578
08/03/2015,
15/03/2015,51472
22/03/2015,44227
29/03/2015,59533
05/04/2015,57340
12/04/2015,44469
19/04/2015,56844
26/04/2015,69545
03/05/2015,66880
10/05/2015,62505
17/05/2015,61320
24/05/2015,54826
31/05/2015,57374
07/06/2015,61245
14/06/2015,58791
21/06/2015,52790
28/06/2015,
05/07/2015,61950
12/07/2015,51829
19/07/2015,45922
26/07/2015,50978
02/08/2015,51151
09/08/2015,44740
16/08/2015,46189
23/08/2015,44059
30/08/2015,40927
06/09/2015,44135
13/09/2015,45739
20/09/2015,34827
27/09/2015,47007
04/10/2015,35154
11/10/2015,26114
18/10/2015,29614
25/10/2015,29522
01/11/2015,30435
08/11/2015,31910
15/11/2015,24425
22/11/2015,
29/11/2015,24190
06/12/2015,35591
13/12/2015,27149
20/12/2015,25628
27/12/2015,30482
03/01/2016,43869
10/01/2016,31802
17/01/2016,34303
24/01/2016,18003
31/01/2016,36196
07/02/2016,42826
14/02/2016,38043
21/02/2016,37808
28/02/2016,38143
06/03/2016,41714
13/03/2016,45571
20/03/2016,41756
27/03/2016,40229
03/04/2016,45953
10/04/2016,44345
17/04/2016,41244
24/04/2016,36438
01/05/2016,32241
08/05/2016,43200
15/05/2016,34103
22/05/2016,32113
29/05/2016,29695
05/06/2016,31280
12/06/2016,34791
19/06/2016,36119
26/06/2016,34024
03/07/2016,36208
10/07/2016,39211
17/07/2016,27671
24/07/2016,26990
31/07/2016,30747
07/08/2016,32775
14/08/2016,43526
21/08/2016,40944
28/08/2016,36838
04/09/2016,37234
11/09/2016,41793
18/09/2016,39719
25/09/2016,39342
02/10/2016,27543
09/10/2016,38087
16/10/2016,35486
23/10/2016,27936
30/10/2016,25833
06/11/2016,24935
13/11/2016,32035
20/11/2016,28834
27/11/2016,23775
04/12/2016,34195
11/12/2016,
18/12/2016,28725
25/12/2016,27464
01/01/2017,27845
08/01/2017,35597
15/01/2017,36085
22/01/2017,34251
29/01/2017,35678
05/02/2017,36809
12/02/2017,41601
19/02/2017,33444
26/02/2017,
05/03/2017,29234
12/03/2017,33062
19/03/2017,33892
26/03/2017,43566
02/04/2017,41043
09/04/2017,39292
16/04/2017,43003
23/04/2017,41816
30/04/2017,41327
07/05/2017,60550
14/05/2017,38987
21/05/2017,35312
28/05/2017,40637
04/06/2017,42303
11/06/2017,40251
18/06/2017,40472
25/06/2017,41341
02/07/2017,41134
09/07/2017,47772
16/07/2017,35748
23/07/2017,36290
30/07/2017,36727
06/08/2017,37253
13/08/2017,36652
20/08/2017,42285
27/08/2017,45399
03/09/2017,30130
10/09/2017,36441
17/09/2017,35147
24/09/2017,29756
01/10/2017,33499
08/10/2017,28953
15/10/2017,30893
22/10/2017,49926
29/10/2017,33724
05/11/2017,40651
12/11/2017,37876
19/11/2017,31177
26/11/2017,28307
03/12/2017,38662
10/12/2017,53166
17/12/2017,
24/12/2017,39117
31/12/2017,38196
07/01/2018,45937
14/01/2018,49335
21/01/2018,49711
28/01/2018,66654
04/02/2018,
11/02/2018,48309
18/02/2018,39773
25/02/2018,42116
04/03/2018,44454
11/03/2018,28399
18/03/2018,49145
25/03/2018,40362
