Date,Envi,x1,x2,x3,x4,y
04/01/2015,44562,38112,50355,51922,67496,54229
11/01/2015,38112,50355,51922,67496,54229,41548
18/01/2015,50355,51922,67496,54229,41548,50872
25/01/2015,51922,67496,54229,41548,50872,40578
01/02/2015,67496,54229,41548,50872,40578,46025
08/02/2015,54229,41548,50872,40578,46025,51472
15/02/2015,41548,50872,40578,46025,51472,44227
22/02/2015,50872,40578,46025,51472,44227,59533
01/03/2015,40578,46025,51472,44227,59533,57340
08/03/2015,46025,51472,44227,59533,57340,44469
15/03/2015,51472,44227,59533,57340,44469,56844
22/03/2015,44227,59533,57340,44469,56844,69545
29/03/2015,59533,57340,44469,56844,69545,66880
05/04/2015,57340,44469,56844,69545,66880,62505
12/04/2015,44469,56844,69545,66880,62505,61320
19/04/2015,56844,69545,66880,62505,61320,54826
26/04/2015,69545,66880,62505,61320,54826,57374
03/05/2015,66880,62505,61320,54826,57374,61245
10/05/2015,62505,61320,54826,57374,61245,58791
17/05/2015,61320,54826,57374,61245,58791,52790
24/05/2015,54826,57374,61245,58791,52790,57370
31/05/2015,57374,61245,58791,52790,57370,61950
07/06/2015,61245,58791,52790,57370,61950,51829
14/06/2015,58791,52790,57370,61950,51829,45922
21/06/2015,52790,57370,61950,51829,45922,50978
28/06/2015,57370,61950,51829,45922,50978,51151
05/07/2015,61950,51829,45922,50978,51151,44740
12/07/2015,51829,45922,50978,51151,44740,46189
19/07/2015,45922,50978,51151,44740,46189,44059
26/07/2015,50978,51151,44740,46189,44059,40927
02/08/2015,51151,44740,46189,44059,40927,44135
09/08/2015,44740,46189,44059,40927,44135,45739
16/08/2015,46189,44059,40927,44135,45739,34827
23/08/2015,44059,40927,44135,45739,34827,47007
30/08/2015,40927,44135,45739,34827,47007,35154
06/09/2015,44135,45739,34827,47007,35154,26114
13/09/2015,45739,34827,47007,35154,26114,29614
20/09/2015,34827,47007,35154,26114,29614,29522
27/09/2015,47007,35154,26114,29614,29522,30435
04/10/2015,35154,26114,29614,29522,30435,31910
11/10/2015,26114,29614,29522,30435,31910,24425
18/10/2015,29614,29522,30435,31910,24425,24307
25/10/2015,29522,30435,31910,24425,24307,24190
01/11/2015,30435,31910,24425,24307,24190,35591
08/11/2015,31910,24425,24307,24190,35591,27149
15/11/2015,24425,24307,24190,35591,27149,25628
22/11/2015,24307,24190,35591,27149,25628,30482
29/11/2015,24190,35591,27149,25628,30482,43869
06/12/2015,35591,27149,25628,30482,43869,31802
13/12/2015,27149,25628,30482,43869,31802,34303
20/12/2015,25628,30482,43869,31802,34303,18003
27/12/2015,30482,43869,31802,34303,18003,36196
03/01/2016,43869,31802,34303,18003,36196,42826
10/01/2016,31802,34303,18003,36196,42826,38043
