Date,Fuji,x1,x2,x3,x4,y
04/01/2015,24964,10998,6342,7556,36532,9647
11/01/2015,10998,6342,7556,36532,9647,7840
18/01/2015,6342,7556,36532,9647,7840,16375
25/01/2015,7556,36532,9647,7840,16375,23739
01/02/2015,36532,9647,7840,16375,23739,7206
08/02/2015,9647,7840,16375,23739,7206,7018
15/02/2015,7840,16375,23739,7206,7018,6590
22/02/2015,16375,23739,7206,7018,6590,7120
01/03/2015,23739,7206,7018,6590,7120,9060
08/03/2015,7206,7018,6590,7120,9060,8506
15/03/2015,7018,6590,7120,9060,8506,21631
22/03/2015,6590,7120,9060,8506,21631,7985
29/03/2015,7120,9060,8506,21631,7985,7942
05/04/2015,9060,8506,21631,7985,7942,15897
12/04/2015,8506,21631,7985,7942,15897,7394
19/04/2015,21631,7985,7942,15897,7394,14839
26/04/2015,7985,7942,15897,7394,14839,7421
03/05/2015,7942,15897,7394,14839,7421,7238
10/05/2015,15897,7394,14839,7421,7238,17880
17/05/2015,7394,14839,7421,7238,17880,15445
24/05/2015,14839,7421,7238,17880,15445,6573
31/05/2015,7421,7238,17880,15445,6573,8022
07/06/2015,7238,17880,15445,6573,8022,5803
14/06/2015,17880,15445,6573,8022,5803,5300
21/06/2015,15445,6573,8022,5803,5300,4856
28/06/2015,6573,8022,5803,5300,4856,5141
05/07/2015,8022,5803,5300,4856,5141,5034
12/07/2015,5803,5300,4856,5141,5034,5258
19/07/2015,5300,4856,5141,5034,5258,14861
26/07/2015,4856,5141,5034,5258,14861,5810
02/08/2015,5141,5034,5258,14861,5810,5402
09/08/2015,5034,5258,14861,5810,5402,4394
16/08/2015,5258,14861,5810,5402,4394,21592
23/08/2015,14861,5810,5402,4394,21592,5754
30/08/2015,5810,5402,4394,21592,5754,10822
06/09/2015,5402,4394,21592,5754,10822,33416
13/09/2015,4394,21592,5754,10822,33416,9069
20/09/2015,21592,5754,10822,33416,9069,10090
27/09/2015,5754,10822,33416,9069,10090,4360
04/10/2015,10822,33416,9069,10090,4360,4652
11/10/2015,33416,9069,10090,4360,4652,12086
18/10/2015,9069,10090,4360,4652,12086,3256
25/10/2015,10090,4360,4652,12086,3256,2790
01/11/2015,4360,4652,12086,3256,2790,12527
08/11/2015,4652,12086,3256,2790,12527,2986
15/11/2015,12086,3256,2790,12527,2986,2546
22/11/2015,3256,2790,12527,2986,2546,2972
29/11/2015,2790,12527,2986,2546,2972,10277
06/12/2015,12527,2986,2546,2972,10277,8347
13/12/2015,2986,2546,2972,10277,8347,7884
20/12/2015,2546,2972,10277,8347,7884,4208
27/12/2015,2972,10277,8347,7884,4208,4791
03/01/2016,10277,8347,7884,4208,4791,14822
10/01/2016,8347,7884,4208,4791,14822,5303
17/01/2016,7884,4208,4791,14822,5303,9085
24/01/2016,4208,4791,14822,5303,9085,5361
31/01/2016,4791,14822,5303,9085,5361,5373
07/02/2016,14822,5303,9085,5361,5373,4921
14/02/2016,5303,9085,5361,5373,4921,2698
21/02/2016,9085,5361,5373,4921,2698,6891
28/02/2016,5361,5373,4921,2698,6891,5362
06/03/2016,5373,4921,2698,6891,5362,3304
13/03/2016,4921,2698,6891,5362,3304,9076
20/03/2016,2698,6891,5362,3304,9076,2850
27/03/2016,6891,5362,3304,9076,2850,3928
03/04/2016,5362,3304,9076,2850,3928,5397
10/04/2016,3304,9076,2850,3928,5397,6201
17/04/2016,9076,2850,3928,5397,6201,3221
24/04/2016,2850,3928,5397,6201,3221,4570
01/05/2016,3928,5397,6201,3221,4570,5423
08/05/2016,5397,6201,3221,4570,5423,2579
15/05/2016,6201,3221,4570,5423,2579,6692
22/05/2016,3221,4570,5423,2579,6692,5853
29/05/2016,4570,5423,2579,6692,5853,6422
05/06/2016,5423,2579,6692,5853,6422,4977
12/06/2016,2579,6692,5853,6422,4977,1614
19/06/2016,6692,5853,6422,4977,1614,1685
26/06/2016,5853,6422,4977,1614,1685,1921
03/07/2016,6422,4977,1614,1685,1921,2002
10/07/2016,4977,1614,1685,1921,2002,1959
17/07/2016,1614,1685,1921,2002,1959,2078
24/07/2016,1685,1921,2002,1959,2078,1982
31/07/2016,1921,2002,1959,2078,1982,2056
07/08/2016,2002,1959,2078,1982,2056,1784
14/08/2016,1959,2078,1982,2056,1784,2199
21/08/2016,2078,1982,2056,1784,2199,2342
28/08/2016,1982,2056,1784,2199,2342,8194
04/09/2016,2056,1784,2199,2342,8194,2089
11/09/2016,1784,2199,2342,8194,2089,2007
18/09/2016,2199,2342,8194,2089,2007,2512
25/09/2016,2342,8194,2089,2007,2512,3018
02/10/2016,8194,2089,2007,2512,3018,2894
09/10/2016,2089,2007,2512,3018,2894,3042
16/10/2016,2007,2512,3018,2894,3042,2463
23/10/2016,2512,3018,2894,3042,2463,2187
30/10/2016,3018,2894,3042,2463,2187,2996
06/11/2016,2894,3042,2463,2187,2996,10383
13/11/2016,3042,2463,2187,2996,10383,2337
20/11/2016,2463,2187,2996,10383,2337,2893
27/11/2016,2187,2996,10383,2337,2893,9409
04/12/2016,2996,10383,2337,2893,9409,7163
11/12/2016,10383,2337,2893,9409,7163,4774
18/12/2016,2337,2893,9409,7163,4774,5627
25/12/2016,2893,9409,7163,4774,5627,6533
01/01/2017,9409,7163,4774,5627,6533,11334
08/01/2017,7163,4774,5627,6533,11334,4101
15/01/2017,4774,5627,6533,11334,4101,7192
22/01/2017,5627,6533,11334,4101,7192,5200
29/01/2017,6533,11334,4101,7192,5200,5257
05/02/2017,11334,4101,7192,5200,5257,9416
12/02/2017,4101,7192,5200,5257,9416,3887
19/02/2017,7192,5200,5257,9416,3887,4141
26/02/2017,5200,5257,9416,3887,4141,3617
05/03/2017,5257,9416,3887,4141,3617,4116
12/03/2017,9416,3887,4141,3617,4116,3555
19/03/2017,3887,4141,3617,4116,3555,2688
26/03/2017,4141,3617,4116,3555,2688,2195
02/04/2017,3617,4116,3555,2688,2195,3285
09/04/2017,4116,3555,2688,2195,3285,2779
16/04/2017,3555,2688,2195,3285,2779,3430
23/04/2017,2688,2195,3285,2779,3430,3548
30/04/2017,2195,3285,2779,3430,3548,3758
07/05/2017,3285,2779,3430,3548,3758,2998
14/05/2017,2779,3430,3548,3758,2998,3263
21/05/2017,3430,3548,3758,2998,3263,3574
28/05/2017,3548,3758,2998,3263,3574,3403
04/06/2017,3758,2998,3263,3574,3403,3135
11/06/2017,2998,3263,3574,3403,3135,3544
18/06/2017,3263,3574,3403,3135,3544,3130
25/06/2017,3574,3403,3135,3544,3130,3473
02/07/2017,3403,3135,3544,3130,3473,3803
09/07/2017,3135,3544,3130,3473,3803,3647
16/07/2017,3544,3130,3473,3803,3647,2840
23/07/2017,3130,3473,3803,3647,2840,2514
30/07/2017,3473,3803,3647,2840,2514,3171
06/08/2017,3803,3647,2840,2514,3171,2817
13/08/2017,3647,2840,2514,3171,2817,2638
20/08/2017,2840,2514,3171,2817,2638,1936
27/08/2017,2514,3171,2817,2638,1936,2015
03/09/2017,3171,2817,2638,1936,2015,2680
10/09/2017,2817,2638,1936,2015,2680,2911
17/09/2017,2638,1936,2015,2680,2911,2948
24/09/2017,1936,2015,2680,2911,2948,2180
01/10/2017,2015,2680,2911,2948,2180,1849
08/10/2017,2680,2911,2948,2180,1849,2047
15/10/2017,2911,2948,2180,1849,2047,2085
22/10/2017,2948,2180,1849,2047,2085,1707
29/10/2017,2180,1849,2047,2085,1707,1518
05/11/2017,1849,2047,2085,1707,1518,1936
12/11/2017,2047,2085,1707,1518,1936,1752
19/11/2017,2085,1707,1518,1936,1752,2348
26/11/2017,1707,1518,1936,1752,2348,1706
03/12/2017,1518,1936,1752,2348,1706,2658
10/12/2017,1936,1752,2348,1706,2658,7415
17/12/2017,1752,2348,1706,2658,7415,2157
24/12/2017,2348,1706,2658,7415,2157,1972
