Date,Gala
04/01/2015,2752
11/01/2015,3322
18/01/2015,2257
25/01/2015,2061
01/02/2015,2905
08/02/2015,4699
15/02/2015,6493
22/02/2015,2122
01/03/2015,3492
08/03/2015,7404
15/03/2015,2982
22/03/2015,7290
29/03/2015,3102
05/04/2015,3790
12/04/2015,7523
19/04/2015,3260
26/04/2015,3402
03/05/2015,4290
10/05/2015,7891
17/05/2015,2920
24/05/2015,3474
31/05/2015,4028
07/06/2015,6656
14/06/2015,3136
21/06/2015,5876
28/06/2015,3975
05/07/2015,8435
12/07/2015,7474
19/07/2015,5565
26/07/2015,5480
02/08/2015,5435
09/08/2015,3931
16/08/2015,6457
23/08/2015,4433
30/08/2015,7923
06/09/2015,7992
13/09/2015,6593
20/09/2015,6640
27/09/2015,3663
04/10/2015,7552
11/10/2015,7604
18/10/2015,6586
25/10/2015,6552
01/11/2015,6428
08/11/2015,6286
15/11/2015,6502
22/11/2015,6663
29/11/2015,6031
06/12/2015,4086
13/12/2015,6458
20/12/2015,7394
27/12/2015,5894
03/01/2016,5432
10/01/2016,9065
17/01/2016,8901
24/01/2016,4714
31/01/2016,8441
07/02/2016,17989
14/02/2016,6617
21/02/2016,4891
28/02/2016,8767
06/03/2016,7307
13/03/2016,6448
20/03/2016,9201
27/03/2016,9114
03/04/2016,6316
10/04/2016,5341
17/04/2016,4730
24/04/2016,591
01/05/2016,0
08/05/2016,7
15/05/2016,16
22/05/2016,3
29/05/2016,7
05/06/2016,12
12/06/2016,3
19/06/2016,2
26/06/2016,9
03/07/2016,12
10/07/2016,3
17/07/2016,6
24/07/2016,3
31/07/2016,3
07/08/2016,3
14/08/2016,6569
21/08/2016,4695
28/08/2016,5919
04/09/2016,7067
11/09/2016,6412
18/09/2016,6951
25/09/2016,5737
02/10/2016,7083
09/10/2016,6562
16/10/2016,6689
23/10/2016,6919
30/10/2016,7312
06/11/2016,7688
13/11/2016,6079
20/11/2016,7123
27/11/2016,5526
04/12/2016,3772
11/12/2016,4088
18/12/2016,5563
25/12/2016,6681
01/01/2017,11342
08/01/2017,12144
15/01/2017,10057
22/01/2017,8314
29/01/2017,9559
05/02/2017,23346
12/02/2017,9261
19/02/2017,9936
26/02/2017,11563
05/03/2017,12115
12/03/2017,9975
19/03/2017,9034
26/03/2017,8899
02/04/2017,9920
09/04/2017,10281
16/04/2017,9549
23/04/2017,9754
30/04/2017,9317
07/05/2017,9702
14/05/2017,9358
21/05/2017,10331
28/05/2017,10210
04/06/2017,7950
11/06/2017,8103
18/06/2017,8415
25/06/2017,7668
02/07/2017,8607
09/07/2017,7817
16/07/2017,8951
23/07/2017,7062
30/07/2017,7264
06/08/2017,7645
13/08/2017,5544
20/08/2017,7323
27/08/2017,6034
03/09/2017,6523
10/09/2017,6160
17/09/2017,5499
24/09/2017,5659
01/10/2017,5128
08/10/2017,6108
15/10/2017,5020
22/10/2017,4056
29/10/2017,4757
05/11/2017,4629
12/11/2017,4630
19/11/2017,5660
26/11/2017,5116
03/12/2017,7094
10/12/2017,4746
17/12/2017,6656
24/12/2017,4751
31/12/2017,6263
07/01/2018,7511
14/01/2018,8299
21/01/2018,6343
28/01/2018,6962
04/02/2018,22490
11/02/2018,10559
18/02/2018,8576
25/02/2018,11798
04/03/2018,10102
11/03/2018,12281
18/03/2018,7738
25/03/2018,9200
